"","type","variable","obs","pred"
"1534...18333","calibration","P retention",13.995167137,10.3542662768873
"1512...18334","calibration","P retention",26.86266613,18.7588600568315
"7351...18335","calibration","P retention",13,31.4432835296346
"7336...18336","calibration","P retention",15,14.8655325632727
"1816...18337","calibration","P retention",22.464646465,15.7605715614523
"6500...18338","calibration","P retention",30,24.8268750349023
"1500...18339","calibration","P retention",28.057119871,28.3913728620592
"6105...18340","calibration","P retention",58,53.1490319232825
"1476...18341","calibration","P retention",28.399034594,28.768163989022
"2014...18342","calibration","P retention",23,30.5813642053192
"7821...18343","calibration","P retention",20,15.0955872282219
"7578...18344","calibration","P retention",13,10.9954729048914
"7329...18345","calibration","P retention",31,34.1980139476109
"6678...18346","calibration","P retention",16,19.5556398690113
"2012...18347","calibration","P retention",48,59.0259858479465
"4819...18348","calibration","P retention",90,86.7296226056606
"970...18349","calibration","P retention",31,36.9365657146056
"6851...18350","calibration","P retention",51,45.7580157019309
"688...18351","calibration","P retention",21,26.1100663545303
"6566...18352","calibration","P retention",80,72.5715436670046
"419...18353","calibration","P retention",19,21.7329426847574
"4763...18354","calibration","P retention",93,80.935454194568
"8168...18355","calibration","P retention",20,18.2082037081841
"7798...18356","calibration","P retention",21,20.04486542282
