,upper,lower,pred,obs,type,variable
19670,2.475571643,0.153527249,1.3145494,1.5139391, Calibration,carbon
19673,80.97915715,6.760391888,37.109383,39.8, Calibration,carbon
19674,14.03494013,0.668383959,6.683278,7, Calibration,carbon
19676,4.282397228,0.215955776,2.2491765,2.51, Calibration,carbon
19678,4.135688963,0.257400332,2.1965446,2.363, Calibration,carbon
19680,5.377716282,0.250934384,2.8143253,2.99, Calibration,carbon
19682,2.42435577,0.237325167,1.3308405,1.33, Calibration,carbon
19684,1.590268294,0.162332733,0.8763005,0.9, Calibration,carbon
19686,2.892071047,0.087914667,1.4899929,1.8, Calibration,carbon
19688,14.88534787,0.59353497,7.1459064,8.11, Calibration,carbon
19690,10.63562845,0.37407659,5.130776,5.205258, Calibration,carbon
19692,5.432273205,0.270180409,2.8512268,2.9, Calibration,carbon
19694,2.047987202,0.216370603,1.1321789,1.234, Calibration,carbon
19696,1.433825146,0.117296327,0.77556074,0.8563249, Calibration,carbon
19698,5.425928491,0.273867231,2.8498979,3.1282568, Calibration,carbon
19700,2.522942233,0.218258929,1.3706006,1.544, Calibration,carbon
19702,4.588763364,0.254989497,2.4218764,2.5, Calibration,carbon
19704,5.379238056,0.075793815,2.727516,2.8, Calibration,carbon
19706,3.142008809,0.032802077,1.5874054,2.1, Calibration,carbon
19708,2.465291464,0.23400358,1.3496475,1.5, Calibration,carbon
19710,1.433825146,0.117296327,0.77556074,0.59936726, Calibration,carbon
19712,10.8283079,0.258425506,5.284941,6.6, Calibration,carbon
19714,2.086346806,0.264185487,1.1752661,1.2, Calibration,carbon
19716,3.475856071,0.169867272,1.8228617,1.8, Calibration,carbon
19718,4.449397953,0.229261486,2.3393297,2.27, Calibration,carbon
19720,2.371572407,0.18176779,1.2766701,1.4, Calibration,carbon
19722,4.077790727,0.253379356,2.165585,2.1, Calibration,carbon
19724,2.145577492,0.220415769,1.1829966,1.4, Calibration,carbon
19726,1.490595763,0.147471244,0.8190335,0.9, Calibration,carbon
19728,1.893516368,0.24443,1.0689732,1.2, Calibration,carbon
19730,4.327113373,0.339052933,2.3330832,2.44, Calibration,carbon
19732,13.38028134,0.286656271,6.5468125,7, Calibration,carbon
19734,4.460360184,0.323515758,2.391938,2.5, Calibration,carbon
19736,5.546122942,0.222614851,2.884369,3.328, Calibration,carbon
19738,1.433825146,0.117296327,0.77556074,0.8164865, Calibration,carbon
19740,8.274125871,0.041765984,4.11618,4.2, Calibration,carbon
19742,2.574838181,0.138743858,1.356791,1.7, Calibration,carbon
19744,7.804732349,0.062090371,3.9334114,4.4, Calibration,carbon
19746,4.176997856,0.293509289,2.2352536,2.3, Calibration,carbon
19748,1.680086227,0.187840729,0.9339635,0.9, Calibration,carbon
19750,4.473279696,0.217673082,2.3454764,2.4, Calibration,carbon
19752,3.46478357,0.134882072,1.7998328,1.84, Calibration,carbon
19754,4.896469219,0.261433498,2.5789514,2.7, Calibration,carbon
19756,20.13372392,1.02626962,9.553727,10.3, Calibration,carbon
19758,1.53484087,0.177606535,0.8562237,0.9, Calibration,carbon
19760,3.398015003,0.14388754,1.7709513,1.8, Calibration,carbon
19762,10.16140507,0.08604573,5.0376797,5.175, Calibration,carbon
19764,5.06618774,0.275282025,2.670735,2.75, Calibration,carbon
19766,4.108491613,0.053515719,2.0810037,2.3, Calibration,carbon
19768,2.61330733,0.180273202,1.3967903,1.6, Calibration,carbon
19770,20.20305151,1.254841743,9.474105,9.2, Calibration,carbon
19772,3.083210466,0.167170765,1.6251906,1.8, Calibration,carbon
19774,6.169079051,0.125316873,3.147198,3.2, Calibration,carbon
19776,4.443185719,0.176821796,2.3100038,2.359, Calibration,carbon
19778,9.074384417,0.154587474,4.4598985,5.4, Calibration,carbon
19780,3.606928059,0.27515178,1.9410399,2.06, Calibration,carbon
19782,5.235693257,0.207250316,2.7214718,3.6, Calibration,carbon
19784,6.379791175,0.048871432,3.1654599,3.8, Calibration,carbon
19786,1.467924075,0.137204452,0.80256426,1, Calibration,carbon
19788,4.599660889,0.101547225,2.350604,2.5, Calibration,carbon
19791,13.9448175,0.662548973,6.6411343,7.9, Calibration,carbon
19792,8.06665812,0.070514779,3.9980717,4.3, Calibration,carbon
19794,2.11880941,0.242400936,1.1806052,1.33, Calibration,carbon
19796,1.516655482,0.160099708,0.8383776,0.9, Calibration,carbon
